Date,Close/Last,Volume,Open,High,Low
09/29/2023,$43.50,397829900,$43.83,$44.14,$43.31
09/28/2023,$43.09,424662800,$42.46,$43.45,$42.12
09/27/2023,$42.47,444935200,$42.33,$42.87,$41.63
09/26/2023,$41.91,402282100,$42.00,$42.82,$41.66
09/25/2023,$42.22,419091000,$41.59,$42.54,$41.18
09/22/2023,$41.61,479236300,$41.57,$42.12,$41.23
09/21/2023,$41.02,450736000,$41.58,$42.10,$40.98
09/20/2023,$42.24,367107700,$43.60,$43.90,$42.22
09/19/2023,$43.52,373064200,$43.83,$43.97,$43.00
09/18/2023,$43.97,500270800,$42.75,$44.24,$42.00
09/15/2023,$43.90,506830500,$45.34,$45.60,$43.81
09/14/2023,$45.58,370097200,$45.95,$45.99,$45.13
09/13/2023,$45.49,398355400,$44.60,$45.93,$44.50
9/12/2023,$44.87,349256300,$44.74,$45.67,$44.53
9/11/2023,$45.18,473965600,$46.15,$46.16,$44.31
9/8/2023,$45.57,473899900,$45.94,$46.61,$45.27
9/7/2023,$46.24,433329900,$45.53,$46.34,$45.15
9/6/2023,$47.06,468669600,$48.44,$48.55,$46.58
9/5/2023,$48.55,382652600,$48.22,$48.85,$47.86
9/1/2023,$48.51,463830300,$49.76,$49.80,$48.14
08/31/2023,$49.36,528569800,$49.38,$49.74,$48.96
08/30/2023,$49.26,735206000,$49.04,$49.93,$48.43
08/29/2023,$48.78,701397000,$46.67,$49.08,$46.39
08/28/2023,$46.84,685192200,$46.48,$46.98,$44.89
08/25/2023,$46.02,925340500,$47.01,$47.81,$45.02
08/24/2023,$47.16,1156044000,$50.22,$50.27,$47.16
08/23/2023,$47.12,779046100,$45.87,$47.20,$45.21
08/22/2023,$45.67,757206900,$48.14,$48.19,$45.33
08/21/2023,$46.97,692573400,$44.49,$47.07,$44.22
08/18/2023,$43.30,583767900,$42.64,$43.58,$41.66
08/17/2023,$43.34,452394800,$43.97,$44.06,$43.00
08/16/2023,$43.49,527450700,$44.52,$44.68,$43.41
08/15/2023,$43.94,676511500,$44.56,$45.27,$43.71
08/14/2023,$43.75,690285800,$40.49,$43.80,$40.31
8/11/2023,$40.86,533085300,$41.75,$42.02,$40.64
8/10/2023,$42.39,492705300,$42.16,$43.57,$41.84
8/9/2023,$42.55,586449100,$44.27,$44.31,$42.13
